Path *,Title *,Source ID *,Description,Author,Language,License ID *,License Description,Copyright Holder,Number Correct,Out of Total,Randomize,Thumbnail
VGISrestore/Lower Primary/Primary one/English/Exercise 1 - Days of the week,Exercise 1 - Days of the week,Exercise_1_-_Days_of_the_week,Listening and Speaking,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/English/Exercise 2 - Greetings,Exercise 2 - Greetings,Exercise_2_-_Greetings,Listening and Speaking,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/English/Exercise 3 - Letters of the alphabet,Exercise 3 - Letters of the alphabet,Exercise_3_-_Letters_of_the_alphabet,Reading and Writing,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/English/Exercise 4 - The position of things,Exercise 4 - The position of things,Exercise_4_-_The_position_of_things,Listening and speaking,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/English/Exercise 5 - Greetings and responses,Exercise 5 - Greetings and responses,Exercise_5_-_Greetings_and_responses,Listening and speaking,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/Mathematics/Exercise 1 - Introduction to idea of length,Exercise 1 - Introduction to idea of length,Exercise_1_-_Introduction_to_idea_of_length,Measure of length,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/Mathematics/Exercise 2 - Introduction to the Idea of Length,Exercise 2 - Introduction to the Idea of Length,Exercise_2_-_Introduction_to_the_Idea_of_Length,Measurement of Length,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/Mathematics/Exercise 3 - Idea of area,Exercise 3 - Idea of area,Exercise_3_-_Idea_of_area,Measurement of Area,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/Mathematics/Exercise 4 - Introduction to idea of capacity,Exercise 4 - Introduction to idea of capacity,Exercise_4_-_Introduction_to_idea_of_capacity,Measurement of Capacity,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary one/Mathematics/Exercise 5 - Introduction to the idea of mass,Exercise 5 - Introduction to the idea of mass,Exercise_5_-_Introduction_to_the_idea_of_mass,Measurement of Mass,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,True,
VGISrestore/Lower Primary/Primary two/English/Exercise 1 - Identification of words,Exercise 1 - Identification of words,Exercise_1_-_Identification_of_words,Reading,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary two/English/Exercise 2 - Verbs I,Exercise 2 - Verbs I,Exercise_2_-_Verbs_I,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary two/English/Exercise 3 - Verbs II,Exercise 3 - Verbs II,Exercise_3_-_Verbs_II,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary two/English/Exercise 4 - Nouns I,Exercise 4 - Nouns I,Exercise_4_-_Nouns_I,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary two/English/Exercise 5 - Nouns II,Exercise 5 - Nouns II,Exercise_5_-_Nouns_II,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary two/Mathematics/Exercise 1 - Using and handling data,Exercise 1 - Using and handling data,Exercise_1_-_Using_and_handling_data,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,True,
VGISrestore/Lower Primary/Primary two/Mathematics/Exercise 2 - Capacities of similar objects.,Exercise 2 - Capacities of similar objects.,Exercise_2_-_Capacities_of_similar_objects.,Collect data by Measuring lengths,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary two/Mathematics/Exercise 3 - Collecting and handling data,Exercise 3 - Collecting and handling data,Exercise_3_-_Collecting_and_handling_data,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary three/English/Exercise 1 - Listening to instructions,Exercise 1 - Listening to instructions,Exercise_1_-_Listening_to_instructions,Listening and speaking,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary three/English/Exercise 2 - Prepositions,Exercise 2 - Prepositions,Exercise_2_-_Prepositions,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary three/English/Exercise 3 - Subject-verb agreement,Exercise 3 - Subject-verb agreement,Exercise_3_-_Subject-verb_agreement,Grammar,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary three/English/Exercise 4 - Regular nouns,Exercise 4 - Regular nouns,Exercise_4_-_Regular_nouns,Grammar (Nouns),Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary three/English/Exercise 5 - Irregular nouns,Exercise 5 - Irregular nouns,Exercise_5_-_Irregular_nouns,Grammar (Nouns),Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary three/Mathematics/Measure distances and length (or heights) in meters and centimeters,Measure distances and length (or heights) in meters and centimeters,Measure_distances_and_length_(or_heights)_in_meters_and_centimeters,Length and Area,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Lower Primary/Primary three/Mathematics/Compare surfaces (regions) of plane shapes,Compare surfaces (regions) of plane shapes,Compare_surfaces_(regions)_of_plane_shapes,Length and Area,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Upper Primary/Primary six/I.C.T./Exercise - Introduction to the internet,Exercise - Introduction to the internet,Exercise_-_Introduction_to_the_internet,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Upper Primary/Primary six/I.C.T./Exercise 2 - Using search engines to find information,Exercise 2 - Using search engines to find information,Exercise_2_-_Using_search_engines_to_find_information,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Upper Primary/Primary six/I.C.T./Exercise 3 - Typing using a typing software,Exercise 3 - Typing using a typing software,Exercise_3_-_Typing_using_a_typing_software,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/Upper Primary/Primary six/I.C.T./Exercise 4 - Creating and renaming folders,Exercise 4 - Creating and renaming folders,Exercise_4_-_Creating_and_renaming_folders,Mouse skills,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 1 - Sets,Exercise 1 - Sets,Exercise_1_-_Sets,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 2 - Types of sets,Exercise 2 - Types of sets,Exercise_2_-_Types_of_sets,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
"VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 3 - Subsets, intersection and union of sets","Exercise 3 - Subsets, intersection and union of sets","Exercise_3_-_Subsets,_intersection_and_union_of_sets",,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 4 - Equivalent Fractions,Exercise 4 - Equivalent Fractions,Exercise_4_-_Equivalent_Fractions,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Mathematics/Exercise 5 - Addition and subtraction of fractions,Exercise 5 - Addition and subtraction of fractions,Exercise_5_-_Addition_and_subtraction_of_fractions,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 1 - Matter,Exercise 1 - Matter,Exercise_1_-_Matter,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 2 - Soil,Exercise 2 - Soil,Exercise_2_-_Soil,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 3 - Hazards,Exercise 3 - Hazards,Exercise_3_-_Hazards,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 4 - Respiratory Systems of Humans,Exercise 4 - Respiratory Systems of Humans,Exercise_4_-_Respiratory_Systems_of_Humans,,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 1/Integrated Science/Exercise 5 - Sources of energy,Exercise 5 - Sources of energy,Exercise_5_-_Sources_of_energy,,Ghana Education Service,en,CC BY,,Vodafone Ghana,,,False,
VGISrestore/J.H.S./J.H.S. 2/Mathematics/Exercise 1 - Area of a circle,Exercise 1 - Area of a circle,Exercise_1_-_Area_of_a_circle,Length and Area,Ghana Education Service,en,CC BY-NC-ND,,Vodafone Ghana,,,False,
